k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0001544952392578125,0.013331890106201172
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.864516129032258,0.9156626506024096,114,20,12,9,0.00015592575073242188,0.013540267944335938
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9419354838709677,0.963265306122449,118,28,4,5,0.00015783309936523438,0.013514518737792969
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015544891357421875,0.01332998275756836
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.864516129032258,0.9156626506024096,114,20,12,9,0.00015211105346679688,0.013401508331298828
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00015163421630859375,0.013438701629638672
3,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015592575073242188,0.013457775115966797
3,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9419354838709677,0.9635627530364372,119,27,5,4,0.00015592575073242188,0.013522148132324219
3,EuclideanDistance,MajorityClassVote,EqualWeighting,0.864516129032258,0.9149797570850202,113,21,11,10,0.0001583099365234375,0.017819881439208984
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015544891357421875,0.017638206481933594
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.8774193548387097,0.9230769230769231,114,22,10,9,0.00015544891357421875,0.017866134643554688
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9290322580645162,0.9554655870445344,118,26,6,5,0.00015401840209960938,0.017702102661132812
3,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015163421630859375,0.01748037338256836
3,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8774193548387097,0.9230769230769231,114,22,10,9,0.0001583099365234375,0.017683982849121094
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9419354838709677,0.9635627530364372,119,27,5,4,0.0001621246337890625,0.017653942108154297
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0001544952392578125,0.017665863037109375
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00015592575073242188,0.017697811126708984
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.8129032258064516,0.8945454545454545,123,3,29,0,0.00015592575073242188,0.013282299041748047
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015401840209960938,0.013285636901855469
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.8709677419354839,0.9224806201550387,119,16,16,4,0.000156402587890625,0.013401985168457031
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9161290322580645,0.9498069498069498,123,19,13,0,0.00015401840209960938,0.013247966766357422
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015592575073242188,0.013281822204589844
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8774193548387097,0.9260700389105059,119,17,15,4,0.00015592575073242188,0.013331890106201172
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9161290322580645,0.9498069498069498,123,19,13,0,0.00015592575073242188,0.013308048248291016
3,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015354156494140625,0.013214111328125
3,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.8838709677419355,0.9285714285714286,117,20,12,6,0.0001544952392578125,0.013287544250488281
5,ManhattanDistance,MajorityClassVote,EqualWeighting,0.8774193548387097,0.9236947791164659,115,21,11,8,0.00015401840209960938,0.013437747955322266
5,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015783309936523438,0.013398170471191406
5,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.8774193548387097,0.9243027888446215,116,20,12,7,0.00015592575073242188,0.013547897338867188
5,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9225806451612903,0.952,119,24,8,4,0.00015401840209960938,0.013527870178222656
5,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015544891357421875,0.013344287872314453
5,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8774193548387097,0.9243027888446215,116,20,12,7,0.00015401840209960938,0.01343393325805664
5,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00015735626220703125,0.013508319854736328
5,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015544891357421875,0.013344287872314453
5,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9419354838709677,0.9635627530364372,119,27,5,4,0.00015163421630859375,0.013597965240478516
5,EuclideanDistance,MajorityClassVote,EqualWeighting,0.8774193548387097,0.9236947791164659,115,21,11,8,0.00015401840209960938,0.01756572723388672
5,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015592575073242188,0.017581939697265625
5,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.8903225806451613,0.9317269076305221,116,22,10,7,0.00015401840209960938,0.017715930938720703
5,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9096774193548387,0.9444444444444444,119,22,10,4,0.0001583099365234375,0.017896175384521484
5,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00018405914306640625,0.017573833465576172
5,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8903225806451613,0.9317269076305221,116,22,10,7,0.00015401840209960938,0.01786184310913086
