model,dataset,ARI,Purity,DBI,F1 Score,k,min_samples,max_eps,cluster_method,n_clusters,gamma,random_state
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,1,42
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,1,
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,2,1337
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,2,42
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,2,
spectral_clustering,synthetic,-0.0020161367706938702,0.21,3.2089999300880647,0.11942847281636462,,,,,8,0.5,1337
spectral_clustering,synthetic,-0.001563567208152404,0.211,3.968429796068,0.1165110000374901,,,,,8,0.5,42
spectral_clustering,synthetic,-0.00129602748729392,0.209,3.3210432795580473,0.11926223200057945,,,,,8,0.5,
spectral_clustering,synthetic,-0.0018324039377450889,0.209,2.327335285127269,0.12019819689093873,,,,,8,1,1337
spectral_clustering,synthetic,-0.0018324039377450889,0.209,2.327335285127269,0.12019819689093873,,,,,8,1,42
spectral_clustering,synthetic,-0.002013942532413576,0.209,2.319381390086324,0.12002164209644772,,,,,8,1,
spectral_clustering,synthetic,-0.001308823600136923,0.219,2.1471942221221925,0.12261868848027443,,,,,8,2,1337
spectral_clustering,synthetic,-0.001308823600136923,0.219,2.1471942221221925,0.12261868848027443,,,,,8,2,42
spectral_clustering,synthetic,-0.001214395445729969,0.219,2.148375813481682,0.12274970556101977,,,,,8,2,
kmeans,vowel,-0.008222614707572776,0.2,1.1119765212380632,0.08150633150633149,10,,,,,,
kmeans,vowel,-0.0018269338992478578,0.5333333333333333,1.981499561342364,0.02795579262442918,2,,,,,,
kmeans,vowel,-0.002519858200706706,0.5333333333333333,1.9257361263096726,0.036936823344590336,3,,,,,,
kmeans,vowel,-0.004624773922881895,0.26666666666666666,1.603100391289487,0.04834360554699538,4,,,,,,
kmeans,vowel,-0.004979459728619445,0.3333333333333333,1.7503748207544607,0.05479769886549548,5,,,,,,
kmeans,vowel,-0.005585961036352682,0.26666666666666666,1.327137247113579,0.059830972966566184,6,,,,,,
kmeans,vowel,-0.007166295779428959,0.2,1.649386676377351,0.06903231903231903,7,,,,,,
kmeans,vowel,-0.006303679773067528,0.26666666666666666,1.1338871813900309,0.06944635758195081,8,,,,,,
kmeans,vowel,-0.006573088503456172,0.26666666666666666,1.159601107941035,0.07360436173995497,9,,,,,,
