k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
5,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9721811915312654,0.9708537529017282,3764,4134,74,152,0.0004239082336425781,34.2697639465332
5,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.5144017725258493,0.6645693393418927,3908,271,3937,8,0.0004420280456542969,34.491923809051514
5,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.5940423436730674,0.6433052130651092,2974,1852,2356,942,0.00022602081298828125,34.62553024291992
5,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9807976366322009,0.9800204918032787,3826,4142,66,90,0.0004897117614746094,34.53185224533081
5,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.5144017725258493,0.6645693393418927,3908,271,3937,8,0.00023031234741210938,34.956217765808105
5,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5940423436730674,0.6433052130651092,2974,1852,2356,942,0.0013680458068847656,34.46118402481079
5,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9821516494337764,0.9814411877639831,3834,4145,63,82,0.0004076957702636719,34.43308401107788
5,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.5144017725258493,0.6645693393418927,3908,271,3937,8,0.00021409988403320312,34.60047435760498
5,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.00021791458129882812,34.51835012435913
7,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0009241104125976562,35.438106060028076
7,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0004515647888183594,35.25256061553955
7,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6613737075332349,0.6058174523570712,2114,3259,949,1802,0.0010166168212890625,34.86868381500244
7,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0004658699035644531,34.99336385726929
7,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00022172927856445312,35.90628385543823
7,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6613737075332349,0.6058174523570712,2114,3259,949,1802,0.0004239082336425781,35.3124942779541
7,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0004220008850097656,35.41355323791504
7,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0004801750183105469,37.15633201599121
7,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6582964057114722,0.612615126988557,2195,3153,1055,1721,0.0003523826599121094,35.07685375213623
7,EuclideanDistance,MajorityClassVote,EqualWeighting,0.999015263417036,0.9989785495403473,3912,4204,4,4,0.000408172607421875,40.62275218963623
7,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00043964385986328125,40.59907817840576
7,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.551698670605613,0.5848153214774282,2565,1917,2291,1351,0.0004038810729980469,40.57528781890869
7,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9993845396356474,0.9993616749648921,3914,4205,3,2,0.0005383491516113281,40.29256582260132
7,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0004801750183105469,40.72055721282959
7,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.551698670605613,0.5848153214774282,2565,1917,2291,1351,0.00047206878662109375,40.831565380096436
7,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0005664825439453125,40.47913360595703
7,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0004258155822753906,40.45316791534424
7,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5380354505169868,0.5622302577860726,2410,1961,2247,1506,0.00022029876708984375,40.459439277648926
7,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9713195470211718,0.9698693909220225,3750,4141,67,166,0.00021791458129882812,34.35866022109985
7,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.49286065977351057,0.6548257372654156,3908,96,4112,8,0.0002117156982421875,34.502700328826904
7,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.5875184638109305,0.6294371336945704,2846,1927,2281,1070,0.0004181861877441406,34.34757375717163
7,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9793205317577548,0.9784172661870504,3808,4148,60,108,0.000576019287109375,34.5578179359436
7,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.49286065977351057,0.6548257372654156,3908,96,4112,8,0.0005698204040527344,34.66717767715454
7,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5875184638109305,0.6294371336945704,2846,1927,2281,1070,0.00043010711669921875,34.67112398147583
7,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9835056622353521,0.9828469022017409,3839,4151,57,77,0.00022792816162109375,34.15013027191162
7,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.49286065977351057,0.6548257372654156,3908,96,4112,8,0.0004477500915527344,34.65536022186279
7,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.00021028518676757812,34.499807834625244
