k,distance,voting,weighting,accuracy,precision,recall,f1,efficiency,problem-solving time
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.631281876564024,35.63357403278351
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.82160868644714,35.824158263206485
3,ManhattanDistance,MajorityClassVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.20710744857788,35.20937421321869
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48399451905765944,0.29149600639599765,0.5018912529550827,0.3293304474189838,35.75708785057068,35.75943064689636
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.4853458704090109,0.2886118106761951,0.5031721415053841,0.3323232711922686,35.95777812004089,35.96034684181213
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.4853458704090109,0.2886118106761951,0.5031721415053841,0.3323232711922686,35.27637250423432,35.27864129543305
3,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.4855915706547111,0.27740383476470176,0.5032344174179076,0.3354188236682426,35.62980625629425,35.63210265636444
3,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.48608297114611154,0.28536310261508896,0.5038426656509042,0.3343240118762685,35.91475493907929,35.917323684692384
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.48608297114611154,0.28536310261508896,0.5038426656509042,0.3343240118762685,35.27581295967102,35.278108191490176
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,40.81231153011322,40.81461839675903
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,41.28493103981018,41.287442278862
3,EuclideanDistance,MajorityClassVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,40.60086898803711,40.60319712162018
3,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48399451905765944,0.29149600639599765,0.5018912529550827,0.3293304474189838,41.03687100410461,41.03919775485993
3,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.48276601782915823,0.2911928040832852,0.500709219858156,0.3268101335264205,41.300826048851015,41.3033331155777
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.48276601782915823,0.2911928040832852,0.500709219858156,0.3268101335264205,40.55874388217926,40.560999631881714
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,41.117144560813905,41.11942005157471
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,41.324893450737,41.32745003700256
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,40.78609066009521,40.78835227489471
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.5664031396853796,0.5117607174279947,0.5614055291515999,0.49296453470398427,35.41996436119079,35.42227647304535
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.8201767206192,35.822757959365845
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.1158584356308,35.118122243881224
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.4897976716315081,0.49451526915815663,0.4848118547238679,0.44105117114086323,35.41348576545715,35.41582353115082
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.48264316770630816,0.2840179711592068,0.5005813426203043,0.32675062930288923,35.76261260509491,35.76520745754242
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.48264316770630816,0.2840179711592068,0.5005813426203043,0.32675062930288923,35.34080696105957,35.3430810213089
3,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.46045315355660177,0.3083222304372436,0.4632974436582118,0.35956734588494654,35.2258882522583,35.22820866107941
3,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.750595927238464,35.75318596363068
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.09316599369049,35.09543461799622
5,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.55482606887817,35.55712635517121
5,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.92241597175598,35.92496435642242
5,ManhattanDistance,MajorityClassVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.269150495529175,35.27142026424408
5,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48338026844340887,0.2913434612722917,0.5013002364066195,0.3280826542592198,35.474349522590636,35.476638960838315
5,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.48276601782915823,0.2911928040832852,0.500709219858156,0.3268101335264205,35.79039468765259,35.79290475845337
5,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.48276601782915823,0.2911928040832852,0.500709219858156,0.3268101335264205,35.26357374191284,35.26587398052216
5,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.4838716689348094,0.29146534463521273,0.50177304964539,0.3290828237619108,35.515407133102414,35.51769785881042
5,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.910944151878354,35.913493037223816
5,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.32516114711761,35.327432584762576
5,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,40.63923528194427,40.641562175750735
5,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,41.52521090507507,41.527793169021606
5,EuclideanDistance,MajorityClassVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,40.912935090065005,40.91525952816009
5,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48288886795200836,0.29122278617071323,0.5008274231678487,0.3270666598965143,40.84176952838898,40.84408528804779
5,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.4823974674606079,0.2911033014523809,0.500354609929078,0.3260343668590733,41.49112989902496,41.49370048046112
5,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.4823974674606079,0.2911033014523809,0.500354609929078,0.3260343668590733,40.60924365520477,40.61158950328827
5,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,41.08832683563232,41.09059984683991
5,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,41.34336168766022,41.345865511894225
5,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,40.62761306762695,40.629894614219666
5,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.5205780007504146,0.4514662773203728,0.5147121949097503,0.4228398093510416,35.34981472492218,35.352098083496095
5,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.89202888011933,35.89467236995697
5,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.16647183895111,35.16872205734253
5,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.5161487763617956,0.5379000414235668,0.506400064827174,0.4133869547925137,35.26368672847748,35.26597163677216
5,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.7134202003479,35.71600182056427
5,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.48202891709205753,0.24101445854602876,0.5,0.32524915615060435,35.18453574180603,35.1868236541748
