k,distance_func,voting_func,weighting_func,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.7692307692307693,0.9655172413793104,1.0,1.0,0.9629629629629629,1.0,0.9523809523809523,1.0,1.0,1.0,8.606910705566406e-05,8.606910705566406e-05,8.392333984375e-05,8.320808410644531e-05,8.296966552734375e-05,9.202957153320312e-05,8.392333984375e-05,8.296966552734375e-05,8.296966552734375e-05,8.177757263183594e-05,0.010089874267578125,0.010173320770263672,0.009541988372802734,0.008362054824829102,0.009530067443847656,0.009533882141113281,0.009031057357788086,0.008922100067138672,0.008220911026000977,0.008996963500976562
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.392333984375e-05,8.606910705566406e-05,8.487701416015625e-05,8.320808410644531e-05,8.177757263183594e-05,8.296966552734375e-05,8.296966552734375e-05,8.177757263183594e-05,8.177757263183594e-05,8.177757263183594e-05,0.010071039199829102,0.010190963745117188,0.009652376174926758,0.008389949798583984,0.009460926055908203,0.009563922882080078,0.009036064147949219,0.008935928344726562,0.008285045623779297,0.009066104888916016
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.7692307692307693,0.9655172413793104,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.416175842285156e-05,8.392333984375e-05,8.416175842285156e-05,8.320808410644531e-05,8.296966552734375e-05,8.511543273925781e-05,8.296966552734375e-05,8.296966552734375e-05,8.177757263183594e-05,8.296966552734375e-05,0.010168075561523438,0.010283946990966797,0.009677886962890625,0.008434772491455078,0.009624004364013672,0.009673833847045898,0.009111166000366211,0.008970975875854492,0.008352041244506836,0.00912928581237793
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,1.0,8.320808410644531e-05,8.511543273925781e-05,8.296966552734375e-05,8.296966552734375e-05,8.606910705566406e-05,8.296966552734375e-05,8.20159912109375e-05,8.225440979003906e-05,8.177757263183594e-05,8.20159912109375e-05,0.0074999332427978516,0.007657766342163086,0.007134199142456055,0.006237030029296875,0.00708317756652832,0.007155179977416992,0.006788730621337891,0.006641864776611328,0.0061800479888916016,0.0067670345306396484
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.392333984375e-05,8.392333984375e-05,8.392333984375e-05,8.296966552734375e-05,8.296966552734375e-05,8.177757263183594e-05,8.177757263183594e-05,8.177757263183594e-05,8.20159912109375e-05,8.106231689453125e-05,0.007561922073364258,0.007666826248168945,0.0072612762451171875,0.006242036819458008,0.007133007049560547,0.0072209835052490234,0.006750345230102539,0.0066869258880615234,0.006201028823852539,0.006891012191772461
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.8571428571428571,0.8666666666666667,0.9285714285714286,0.9565217391304348,0.9629629629629629,0.9629629629629629,0.8571428571428571,0.96,0.9166666666666666,0.9565217391304348,9.107589721679688e-05,8.487701416015625e-05,8.416175842285156e-05,8.296966552734375e-05,8.702278137207031e-05,8.392333984375e-05,8.296966552734375e-05,8.296966552734375e-05,8.20159912109375e-05,8.177757263183594e-05,0.0075531005859375,0.008014917373657227,0.007200002670288086,0.006324052810668945,0.00736689567565918,0.007153034210205078,0.006797075271606445,0.0069789886474609375,0.006242036819458008,0.006833314895629883
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.8666666666666667,0.9655172413793104,0.9629629629629629,0.9166666666666666,0.896551724137931,1.0,0.9166666666666666,1.0,1.0,1.0,8.487701416015625e-05,8.487701416015625e-05,8.416175842285156e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.20159912109375e-05,8.20159912109375e-05,8.296966552734375e-05,8.20159912109375e-05,0.007460117340087891,0.007570981979370117,0.007133007049560547,0.006201028823852539,0.00706791877746582,0.007117033004760742,0.006754159927368164,0.00657200813293457,0.006186008453369141,0.006721019744873047
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.392333984375e-05,8.392333984375e-05,8.392333984375e-05,8.296966552734375e-05,8.177757263183594e-05,8.296966552734375e-05,8.392333984375e-05,8.392333984375e-05,8.20159912109375e-05,8.296966552734375e-05,0.007503032684326172,0.007604122161865234,0.007170200347900391,0.006193876266479492,0.00711822509765625,0.007219076156616211,0.006780862808227539,0.006704092025756836,0.0062329769134521484,0.00677490234375
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8571428571428571,0.8666666666666667,0.9285714285714286,0.9565217391304348,0.9629629629629629,1.0,0.8571428571428571,0.96,0.9166666666666666,0.9565217391304348,8.296966552734375e-05,8.511543273925781e-05,8.511543273925781e-05,8.511543273925781e-05,8.296966552734375e-05,0.00011801719665527344,0.00011992454528808594,8.702278137207031e-05,8.177757263183594e-05,8.296966552734375e-05,0.0074999332427978516,0.007628917694091797,0.0072078704833984375,0.006210803985595703,0.007384061813354492,0.0073049068450927734,0.006762027740478516,0.0066301822662353516,0.006159067153930664,0.00676417350769043
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.8666666666666667,0.9655172413793104,0.9629629629629629,0.9565217391304348,0.896551724137931,0.9629629629629629,0.9166666666666666,1.0,1.0,1.0,8.487701416015625e-05,8.702278137207031e-05,8.487701416015625e-05,8.106231689453125e-05,8.320808410644531e-05,8.511543273925781e-05,8.296966552734375e-05,8.177757263183594e-05,8.106231689453125e-05,8.20159912109375e-05,0.0075109004974365234,0.0076291561126708984,0.007140159606933594,0.006235837936401367,0.007093191146850586,0.007127046585083008,0.006776094436645508,0.006661176681518555,0.006179094314575195,0.006788015365600586
