k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
7,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.002396821975708008,153.77450489997864
7,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6585425898572131,0.612786152987158,2195,3155,1053,1721,0.001428842544555664,151.89317417144775
7,EuclideanDistance,MajorityClassVote,EqualWeighting,0.999015263417036,0.9989785495403473,3912,4204,4,4,0.0018346309661865234,178.34835696220398
7,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.002226591110229492,179.24907398223877
7,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.551698670605613,0.584720638540479,2564,1918,2290,1352,0.0017766952514648438,179.82801294326782
7,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9993845396356474,0.9993616749648921,3914,4205,3,2,0.0017819404602050781,177.7499053478241
7,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0019919872283935547,180.23913836479187
7,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.551698670605613,0.584720638540479,2564,1918,2290,1352,0.0020971298217773438,179.48726201057434
7,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.002408742904663086,178.00579619407654
7,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.001969575881958008,179.43748021125793
7,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5381585425898572,0.5623979472824819,2411,1961,2247,1505,0.0020971298217773438,178.78675389289856
7,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9713195470211718,0.9698693909220225,3750,4141,67,166,0.0019571781158447266,151.35325264930725
7,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.4931068439192516,0.6550510973362372,3910,96,4112,6,0.0019538402557373047,152.34878587722778
7,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.5875184638109305,0.6294371336945704,2846,1927,2281,1070,0.002106904983520508,151.36731815338135
7,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9793205317577548,0.9784172661870504,3808,4148,60,108,0.0016942024230957031,151.19759273529053
7,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.4931068439192516,0.6550510973362372,3910,96,4112,6,0.0019850730895996094,152.13452219963074
7,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5875184638109305,0.6294371336945704,2846,1927,2281,1070,0.0021932125091552734,151.61358833312988
