dataset,reduction_method,clustering_model,reduction_runtime,clustering_runtime,dbi,chi,ari,f_measure,n_clusters,n_components,max_iterations,tolerance,random_state,metric,algorithm,min_samples,xi,min_cluster_size,kernel,gamma
vowel,kernel_pca,optics,0.1037807464599609,0.2268431186676025,0.8076613972875311,243.0593163063329,0.010933807377181757,0.04276512212613463,10.0,3,,,,manhattan,ball_tree,20,0.1,10,rbf,1
vowel,kernel_pca,optics,0.1222178936004638,0.3073751926422119,2.7095760760015253,2228.9790977301163,-0.005216033612639969,0.064718238447052,9.0,4,,,,manhattan,ball_tree,20,0.1,10,poly,0.1
vowel,kernel_pca,optics,0.1172096729278564,0.2296509742736816,1.2449081803115725,700.7213955815267,-0.0029464497261993696,0.053284803446172785,8.0,4,,,,manhattan,ball_tree,20,0.1,10,poly,1
vowel,kernel_pca,optics,0.1042919158935546,0.231846809387207,0.9961605545279367,145.76740837334614,0.0025424084977464473,0.02872751316317701,8.0,4,,,,manhattan,ball_tree,20,0.1,10,rbf,0.1
vowel,kernel_pca,optics,0.1163587570190429,0.2303798198699951,0.9953223880344931,125.50482546052028,0.01514188099018452,0.049486534279066234,12.0,4,,,,manhattan,ball_tree,20,0.1,10,rbf,1
vowel,non_reduced,global_kmeans,,5.841409921646118,1.1815326863914288,208.19046418970248,-0.009069266523069946,0.08696371196371194,11,,100,0.0001,4,,,,,,,
vowel,non_reduced,optics,,0.252302885055542,0.741045341057987,388.3954072317537,-0.011937244201909959,0.056410256410256404,15.0,,,,,manhattan,ball_tree,20,0.1,10,,
vowel,pca,global_kmeans,0.0016398429870605,8.191428899765015,0.8797897000569541,358.2005655895264,-0.006340481888386538,0.09225637485141619,11,10,100,0.0001,4,,,,,,,
vowel,pca,global_kmeans,0.002004861831665,7.355859756469727,0.7673906646228467,398.5227412920533,-0.00862948144661489,0.08566433566433566,11,11,100,0.0001,4,,,,,,,
vowel,pca,global_kmeans,0.0014660358428955,7.340818166732788,0.9148613258261513,310.1595271806226,-0.006451333151001586,0.09232704083351279,11,12,100,0.0001,4,,,,,,,
vowel,pca,global_kmeans,0.0018339157104492,11.964711904525757,0.5240014038748074,51527.62301949734,0.020769071465299,0.16321850093716164,11,2,100,0.0001,4,,,,,,,
vowel,pca,global_kmeans,0.0013458728790283,13.283982038497925,2.0619668562962397,19464.002660607122,0.0206316475276749,0.15597234178630917,11,3,100,0.0001,4,,,,,,,
vowel,pca,global_kmeans,0.0015816688537597,17.085610151290894,1.7314862619995721,2257.419587907398,0.01918446005320281,0.1545001765610818,11,4,100,0.0001,4,,,,,,,
vowel,pca,optics,0.0016398429870605,0.2321758270263672,1.1174520934484993,337.7509072552931,-0.0053506628154085445,0.053511705685618735,16.0,10,,,,manhattan,ball_tree,20,0.1,10,,
vowel,pca,optics,0.002004861831665,0.23443603515625,0.807690434200029,645.8553320181657,-0.008536267370662164,0.05288461538461539,16.0,11,,,,manhattan,ball_tree,20,0.1,10,,
vowel,pca,optics,0.0014660358428955,0.23557710647583,1.1328005857274128,271.51168012757796,-0.00030888873034043727,0.048704013377926424,16.0,12,,,,manhattan,ball_tree,20,0.1,10,,
vowel,pca,optics,0.0018339157104492,0.2263181209564209,1.1889752909793385,23.847952860348705,0.0009251314665054427,0.019301397950272012,5.0,2,,,,manhattan,ball_tree,20,0.1,10,,
vowel,pca,optics,0.0013458728790283,0.229001760482788,1.0704614101647512,549.5693631299088,0.001984682267229388,0.05318736898133017,7.0,3,,,,manhattan,ball_tree,20,0.1,10,,
vowel,pca,optics,0.0015816688537597,0.230992317199707,1.231392113816915,273.65174256357363,0.0012241111429918358,0.029741727199354317,6.0,4,,,,manhattan,ball_tree,20,0.1,10,,
vowel,sklearn_pca,global_kmeans,0.0008533000946044,8.268835067749023,0.8797897000569553,358.2005655895249,-0.006340481888386538,0.09225637485141619,11,10,100,0.0001,4,,,,,,,
vowel,sklearn_pca,global_kmeans,0.0009005069732666,7.555462121963501,0.7673906646228524,398.5227412920479,-0.00862948144661489,0.08566433566433566,11,11,100,0.0001,4,,,,,,,
vowel,sklearn_pca,global_kmeans,0.0010378360748291,7.376142978668213,0.9148613258261484,310.15952718062397,-0.006451333151001586,0.09232704083351279,11,12,100,0.0001,4,,,,,,,
vowel,sklearn_pca,global_kmeans,0.0012829303741455,12.054404020309448,0.5240014038748225,51527.623019496314,0.020769071465299,0.16321850093716164,11,2,100,0.0001,4,,,,,,,
vowel,sklearn_pca,global_kmeans,0.0008449554443359,13.259608268737791,2.061966856296225,19464.002660606984,0.0206316475276749,0.15597234178630917,11,3,100,0.0001,4,,,,,,,
vowel,sklearn_pca,global_kmeans,0.0008060932159423,17.19564199447632,1.7314862619995983,2257.419587907388,0.01918446005320281,0.1545001765610818,11,4,100,0.0001,4,,,,,,,
vowel,sklearn_pca,optics,0.0008533000946044,0.2344398498535156,1.1174520934485022,337.7509072552917,-0.0053506628154085445,0.053511705685618735,16.0,10,,,,manhattan,ball_tree,20,0.1,10,,
vowel,sklearn_pca,optics,0.0009005069732666,0.2541110515594482,0.8076904342000322,645.8553320181572,-0.008536267370662164,0.05288461538461539,16.0,11,,,,manhattan,ball_tree,20,0.1,10,,
vowel,sklearn_pca,optics,0.0010378360748291,0.237009048461914,1.1328005857274133,271.51168012757796,-0.00030888873034043727,0.048704013377926424,16.0,12,,,,manhattan,ball_tree,20,0.1,10,,
vowel,sklearn_pca,optics,0.0012829303741455,0.2261281013488769,1.188975290979315,23.847952860349153,0.0009251314665054427,0.019301397950272012,5.0,2,,,,manhattan,ball_tree,20,0.1,10,,
vowel,sklearn_pca,optics,0.0008449554443359,0.2279107570648193,1.0704614101647312,549.5693631299088,0.001984682267229388,0.05318736898133017,7.0,3,,,,manhattan,ball_tree,20,0.1,10,,
vowel,sklearn_pca,optics,0.0008060932159423,0.2326762676239013,1.2313921138169148,273.6517425635735,0.0012241111429918358,0.029741727199354317,6.0,4,,,,manhattan,ball_tree,20,0.1,10,,
