dataset,reduction_method,clustering_model,reduction_runtime,clustering_runtime,dbi,chi,ari,f_measure,n_clusters,n_components,max_iterations,tolerance,random_state,metric,algorithm,min_samples,xi,min_cluster_size,kernel,gamma
mushroom,kernel_pca,global_kmeans,,6.801525115966797,0.40416999502727347,911.620735598018,0.005746751401850949,0.393360806815648,2,10,100,0.001,4,,,,,,rbf,1
mushroom,kernel_pca,global_kmeans,,6.8827760219573975,1.1258309260046377,1123.76703172936,0.022576212227377702,0.5017503463038482,2,11,100,0.001,4,,,,,,poly,0.1
mushroom,kernel_pca,global_kmeans,,7.912696123123169,1.4603638297365809,2010.3867091452869,0.16061180099858824,0.6783191133748192,2,11,100,0.001,4,,,,,,poly,1
mushroom,kernel_pca,global_kmeans,,7.087735891342163,0.8864065571736875,303.16068548773563,-0.0010570048389222458,0.3741562826100301,2,11,100,0.001,4,,,,,,rbf,0.1
mushroom,kernel_pca,global_kmeans,,6.949393033981323,0.42980415253389964,823.3061550181592,0.005746751401850949,0.393360806815648,2,11,100,0.001,4,,,,,,rbf,1
mushroom,kernel_pca,global_kmeans,,6.942602157592773,1.2078973526600203,1076.0844908017846,0.022576212227377702,0.5017503463038482,2,12,100,0.001,4,,,,,,poly,0.1
mushroom,kernel_pca,global_kmeans,,7.931071996688843,1.511611899792073,1913.3993265873257,0.16061180099858824,0.6783191133748192,2,12,100,0.001,4,,,,,,poly,1
mushroom,kernel_pca,global_kmeans,,7.080258131027222,0.916017948001217,290.9363131330323,-0.0010570048389222458,0.3741562826100301,2,12,100,0.001,4,,,,,,rbf,0.1
mushroom,kernel_pca,global_kmeans,,6.999735832214356,0.4521158896981254,750.5915177072799,0.005746751401850949,0.393360806815648,2,12,100,0.001,4,,,,,,rbf,1
mushroom,kernel_pca,global_kmeans,2.79983901977539,7.855995178222656,0.46160964980398866,9626.723490703595,0.2124468788338383,0.7034380165134826,2,2,100,0.001,4,,,,,,poly,0.1
mushroom,kernel_pca,global_kmeans,2.2194902896881104,6.823378086090088,0.3391476423398794,15967.382083455868,0.2124422064360982,0.7029972242131595,2,2,100,0.001,4,,,,,,poly,1
mushroom,kernel_pca,global_kmeans,1.9500129222869875,6.743496894836426,0.6130497617328889,2702.4463975866993,0.12544169595635088,0.629954517094268,2,2,100,0.001,4,,,,,,rbf,0.1
mushroom,kernel_pca,global_kmeans,2.213917016983032,6.750845193862915,0.971616516106695,948.8827949840984,0.12544169595635088,0.629954517094268,2,2,100,0.001,4,,,,,,rbf,1
mushroom,kernel_pca,global_kmeans,2.0705039501190186,8.79411768913269,0.5165885184313728,7596.653386652662,0.21267446587992125,0.7035979017015456,2,3,100,0.001,4,,,,,,poly,0.1
mushroom,kernel_pca,global_kmeans,2.0884058475494385,10.261888027191162,0.48484429454666766,8195.29994192151,0.2122152583603414,0.7028861009723086,2,3,100,0.001,4,,,,,,poly,1
mushroom,kernel_pca,global_kmeans,1.9360220432281492,7.055897951126099,0.43457864587317163,6435.511843887652,0.12544169595635088,0.629954517094268,2,3,100,0.001,4,,,,,,rbf,0.1
mushroom,kernel_pca,global_kmeans,2.757565498352051,6.805109024047852,3.642717125414898,41.362223680331596,0.022576212227377702,0.5017503463038482,2,3,100,0.001,4,,,,,,rbf,1
