dataset,model,runtime,dbi,chi,ari,f_measure,n_clusters,fuzzyness,max_iterations,tolerance,random_state,strictness,min_obs,max_depth,metric,algorithm,min_samples,xi,min_cluster_size,n_neighbors,affinity,eigen_solver,assign_labels
hepatitis,fuzzy_cmeans,0.0041460990905761,2.5140984764831673,25.936337686177552,0.10447761945640544,0.3924757796478325,3,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0029199123382568,2.0494649792404704,31.142126221632775,0.05647984313443808,0.37952787952787953,3,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0060019493103027,2.5044298315548983,25.848341472967828,0.0978427473031478,0.39319616659853746,3,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0024099349975585,2.1830962392211073,29.450865515444445,0.08656264186525599,0.3798619680972622,3,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0057249069213867,2.4683817930076213,26.419677964860767,0.07901056162503359,0.3782813355227148,3,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0028610229492187,2.23033337362551,28.457878488561292,0.06919542998770212,0.3670841573280598,3,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0040171146392822,2.2717850595234546,28.578753159195003,0.0861797813741972,0.38615216201423097,3,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0034449100494384,2.122989254037036,24.049847178056122,0.10423914352027004,0.2723316536875859,4,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0037980079650878,2.1086817294552507,24.92682381624826,0.0636463078943437,0.26839791598827745,4,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0039858818054199,5.127436403273939,20.25014235076893,0.08455225436361062,0.2800802139037433,4,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0042638778686523,2.135155738535544,23.707329631975377,0.1187087761589742,0.30417511832319133,4,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038387775421142,2.0053879649704243,26.810321312209922,0.06948079691897707,0.26739713774597496,4,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.003965139389038,2.3838439417573825,22.98493941382767,0.06513519318325307,0.2647357723577236,4,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0044169425964355,2.0492662999428397,22.087316593722743,0.040777417276406464,0.27219950343216004,4,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.004667043685913,1.9971429445934539,24.744397219022247,0.03862551266726249,0.2578289671785607,4,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038521289825439,1.9452898926969027,23.61810909603694,0.08623142739058685,0.2136517328825021,5,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0053939819335937,2.0592865196626526,22.769610332976793,0.0835222276048895,0.22039028275587413,5,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0041148662567138,2.169119300905159,20.94640478270333,0.12729629072995502,0.23021223470661675,5,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038630962371826,2.0695439199995356,22.413928378926983,0.0966395113815998,0.21587666820064424,5,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0040287971496582,2.0264650452056006,22.136724849197712,0.055073136229609465,0.21208591190389514,5,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038399696350097,2.929442682917345,17.069204855955842,0.06834127051458572,0.2243527204502814,5,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0060591697692871,1.947268950273633,22.79690414299026,0.06678319808180486,0.21305031446540879,5,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0043127536773681,2.052867734225998,21.701644112169106,0.047356132474568415,0.20438580852201818,5,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0060958862304687,1.7398415387202573,23.132706994840927,0.05490554836085345,0.1392107784061061,6,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0047662258148193,2.24414897248215,20.182365265535758,0.07917433745090853,0.1854838709677419,6,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0036730766296386,2.8206468333690804,16.026090775099785,0.057841917521111744,0.1683833407971339,6,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0081448554992675,2.988336425799766,18.32171348764019,0.03485693308682842,0.13964770861322587,6,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.005213975906372,3.284814564665277,18.267598324010798,0.054385623457702176,0.14559748427672956,6,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0052311420440673,2.178289936407198,18.87217851700662,0.05340436312550525,0.15320092891060968,6,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0064771175384521,3.0958608097179376,16.908100772053015,0.04955821803385838,0.13730372829771045,6,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0072951316833496,2.8017941192852853,19.412683621470578,0.04091363137896289,0.15265436318067896,6,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0022289752960205,1.9152750124145546,19.55536490508457,0.02282350950048203,0.12271662763466042,7,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0083601474761962,2.1296549609300226,18.954673130105103,0.08648462759672959,0.13893557422969188,7,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0065259933471679,1.7554385039842206,21.645815322483283,0.05677084606639025,0.11744505494505494,7,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0075879096984863,2.0912673109664657,19.97152262627072,0.06954186516505836,0.14390040339407428,7,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0117170810699462,1.9302505851314193,20.465577558056346,0.03610781101953502,0.11063372717508056,7,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0127007961273193,2.2376288349190196,18.291674744114147,0.040353364908783294,0.1402267573696145,7,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0084578990936279,1.777341889397873,21.362256315452196,0.05862567414039625,0.12412584081251547,7,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0083580017089843,2.4653092447522025,17.610076686868354,0.045530365566496894,0.14027223349257248,7,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0044348239898681,2.4362962220504665,17.00507253556457,0.05578686240718842,0.10194630872483221,8,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0071649551391601,2.8070276580720326,16.552462831769024,0.07113896492181938,0.1356156501726122,8,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0044238567352294,1.6922944221767344,20.299779740042204,0.04765601950866018,0.10969568294409059,8,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0106568336486816,1.868540979093265,17.938245299655456,0.026545692700338734,0.09769736842105264,8,3.5,,,,,,,,,,,,,,,
